Date,Total_Cases,Total_Deaths,Total_Hospitalizations,Cases_Ages_0to17,Cases_Ages_18to29,Cases_Ages_30to39,Cases_Ages_40to49,Cases_Ages_50to59,Cases_Ages_60to69,Cases_Ages_70to79,Cases_Age_80andAbove,Cases_Ages_Unknown,Cases_Female,Cases_Male,Cases_Unknown_Gender,Cases_Latinx,Cases_Asian_NonLatinx,Cases_Black_NonLatinx,Cases_White_NonLatinx,Cases_OtherRace_NonLatinx,Cases_UnknownRace_Ethnicity,Deaths_Ages_0to17,Deaths_Ages_18to29,Deaths_Ages_30to39,Deaths_Ages_40to49,Deaths_Ages_50to59,Deaths_Ages_60to69,Deaths_Ages_70to79,Deaths_Ages_80+,Deaths_Ages_Unknown,Deaths_Female,Deaths_Male,Deaths_Unknown_Gender,Deaths_Latinx,Deaths_Asian_NonLatinx,Deaths_Black_NonLatinx,Deaths_White_NonLatinx,Deaths_OtherRace_NonLatinx,Deaths_UnknownRace_Ethnicity,Hospitalizations_Ages_0to17,Hospitalizations_Ages_18to29,Hospitalizations_Ages_30to39,Hospitalizations_Ages_40to49,Hospitalizations_Ages_50to59,Hospitalizations_Ages_60to69,Hospitalizations_Ages_70to79,Hospitalizations_Ages_80+,Hospitalizations_Ages_Unknown,Hospitalizations_Female,Hospitalizations_Male,Hospitalizations_Unknown_Gender,Hospitalizations_Latinx,Hospitalizations_Asian_NonLatinx,Hospitalizations_Black_NonLatinx,Hospitalizations_White_NonLatinx,Hospitalizations_Other_Race NonLatinx,Hospitalizations_UnknownRace_Ethnicity
5/6/2020,968,44,133,55,187,159,213,170,93,53,38,0,483,484,1,542,16,177,121,26,86,0,0,1,3,5,11,10,14,0,14,30,0,13,5,14,12,0,0,2,1,10,22,24,30,23,21,0,61,72,0,48,1,51,24,9,0
2/12/2022,225,6,27,40,41,38,25,28,23,20,10,0,111,111,3,51,13,34,67,11,49,0,0,0,1,1,0,3,1,0,4,2,0,3,0,3,0,0,0,2,4,2,4,0,7,5,3,0,8,19,0,8,1,13,3,1,1
7/1/2021,32,2,6,5,11,8,5,1,2,0,0,0,15,17,0,6,1,8,9,3,5,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,1,2,2,1,0,0,0,0,3,3,0,0,0,6,0,0,0
5/4/2021,466,6,53,79,125,80,84,39,32,14,13,0,245,221,0,113,21,203,61,9,59,0,0,0,0,0,1,3,2,0,1,5,0,0,0,5,1,0,0,2,1,6,9,15,9,6,5,0,26,27,0,6,1,36,10,0,0
1/8/2021,1205,18,52,159,328,215,167,152,109,48,27,0,613,592,0,442,45,253,321,42,102,0,0,1,2,1,4,6,4,0,10,8,0,4,3,7,3,0,1,2,0,3,7,13,12,6,9,0,27,25,0,16,2,23,10,1,0
12/30/2021,8224,14,264,1730,1765,1480,1122,966,639,317,197,8,4539,3584,101,1905,307,1892,1686,441,1993,0,0,1,1,2,0,5,5,0,4,10,0,6,1,3,4,0,0,11,30,21,27,37,49,36,53,0,128,136,0,49,6,149,47,9,4
10/1/2021,387,4,31,80,95,85,46,35,26,15,5,0,203,179,5,68,27,98,110,36,48,0,0,0,0,2,0,2,0,0,3,1,0,2,0,1,1,0,0,0,4,5,1,7,5,5,4,0,18,13,0,4,1,16,8,1,1
6/20/2021,27,1,6,6,6,4,4,2,5,0,0,0,16,11,0,10,0,6,6,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,4,2,0,2,0,4,0,0,0
9/23/2020,391,6,25,49,118,89,59,38,27,6,5,0,189,196,6,167,9,49,115,22,29,0,0,0,1,0,1,2,2,0,2,4,0,0,0,4,2,0,0,1,4,5,4,4,3,2,2,0,17,8,0,12,0,3,8,2,0
6/22/2021,33,3,3,3,7,8,3,5,5,1,1,0,19,14,0,2,0,16,9,2,4,0,0,0,0,2,0,0,1,0,2,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,1,1,0,1,0,0
10/2/2020,415,4,27,46,107,98,60,40,23,30,11,0,207,208,0,182,15,45,125,15,33,0,0,0,0,1,0,2,1,0,2,2,0,2,0,1,1,0,0,0,3,4,4,4,4,4,4,0,14,12,1,8,3,8,7,1,0
9/10/2020,329,2,19,23,121,69,44,36,27,5,4,0,189,139,1,140,8,43,116,4,18,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,4,1,3,2,7,2,0,0,15,4,0,8,0,7,4,0,0
2/18/2022,285,4,19,44,86,67,34,22,20,9,3,0,144,140,1,46,27,44,99,7,62,0,0,0,0,0,1,1,2,0,1,3,0,0,1,1,2,0,0,1,2,3,2,2,2,6,1,0,9,10,0,4,1,10,4,0,0
4/23/2021,533,7,51,93,130,99,83,62,40,16,10,0,291,242,0,137,31,198,95,14,58,0,0,1,0,3,0,3,0,0,2,5,0,1,2,3,1,0,0,2,2,11,6,7,10,8,5,0,24,27,0,11,0,33,5,1,1
12/20/2020,581,30,70,62,139,116,94,70,48,31,21,0,303,277,1,167,37,109,209,19,40,0,0,0,3,3,9,10,5,0,8,22,0,13,1,10,6,0,0,3,9,5,6,10,12,15,10,0,40,30,0,18,2,33,10,2,5
6/21/2020,48,11,16,4,16,11,3,7,2,4,1,0,29,19,0,17,1,12,8,4,6,0,0,1,0,1,3,3,3,0,6,5,0,4,0,3,4,0,0,1,2,1,1,3,3,4,1,0,11,5,0,6,0,7,2,1,0
6/29/2020,279,7,31,22,89,55,36,40,17,9,11,0,137,140,2,112,4,67,63,7,26,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0,1,4,3,4,5,7,1,6,0,12,19,0,14,0,11,5,0,1
4/15/2020,631,31,149,21,92,107,111,124,86,46,44,0,306,325,0,260,26,195,76,34,40,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,1,6,13,17,32,35,31,14,0,67,82,0,52,1,71,23,2,0
1/30/2022,427,14,38,102,79,74,65,29,39,23,16,0,233,189,5,94,32,53,149,27,72,0,0,1,1,0,4,4,4,0,7,7,0,4,0,7,3,0,0,1,1,6,2,3,8,6,11,0,17,21,0,8,1,11,16,2,0
5/1/2020,1173,39,140,59,224,221,204,195,134,68,68,0,636,537,0,635,31,228,133,36,110,0,1,0,1,4,12,8,13,0,14,25,0,12,1,15,10,0,1,0,14,13,16,23,24,30,20,0,76,64,0,49,3,62,22,3,1
9/24/2020,407,5,21,51,122,87,61,44,27,9,6,0,198,208,1,184,8,40,133,7,35,0,0,0,1,1,1,1,1,0,2,3,0,4,0,1,0,0,0,0,0,2,4,5,6,4,0,0,8,13,0,6,0,7,6,2,0
9/25/2021,229,3,26,45,51,43,31,22,23,8,6,0,120,109,0,49,11,61,70,16,22,0,0,1,0,1,0,0,1,0,2,1,0,0,0,2,0,1,0,2,6,3,3,3,5,1,3,0,18,8,0,5,1,14,5,1,0
9/19/2020,170,2,19,11,49,41,23,24,16,2,4,0,89,81,0,67,5,21,53,11,13,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,2,1,1,1,4,4,3,3,0,12,7,0,9,0,7,2,1,0
1/30/2021,419,12,35,76,84,78,52,54,44,20,11,0,221,198,0,162,17,82,104,15,39,0,1,0,0,2,3,3,3,0,1,11,0,6,0,4,2,0,0,0,2,4,5,4,8,7,5,0,12,23,0,12,0,16,7,0,0
7/15/2020,268,7,23,30,84,51,33,34,18,12,6,0,150,118,0,99,5,85,47,9,23,0,0,0,0,2,2,1,2,0,3,4,0,1,0,6,0,0,0,0,5,2,2,3,4,4,3,0,13,10,0,8,0,9,5,1,0
3/27/2020,404,8,154,4,43,61,86,103,49,36,22,0,212,192,0,75,12,219,72,10,16,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0,2,4,9,27,40,34,20,18,0,77,77,0,17,6,113,14,3,1
12/4/2020,1856,32,103,240,409,341,306,272,158,85,45,0,938,912,6,705,72,344,431,72,232,0,0,1,1,4,4,7,15,0,14,18,0,16,1,6,9,0,0,4,6,15,12,19,19,16,12,0,49,54,0,30,4,46,17,4,2
