Date,Total_Cases,Total_Deaths,Total_Hospitalizations,Ages_0to17,Ages_18to29,Ages_30to39,Ages_40to49,Ages_50to59,Ages_60to69,Ages_70to79,Age_80andAbove,Ages_Unknown,Female,Male,Unknown_Gender,Latinx,Asian_NonLatinx,Black_NonLatinx,White_NonLatinx,OtherRace_NonLatinx,UnknownRace_Ethnicity,Ages_0to17,Ages_18to29,Ages_30to39,Ages_40to49,Ages_50to59,Ages_60to69,Ages_70to79,Ages_80+,Ages_Unknown,Female,Male,Unknown_Gender,Latinx,Asian_NonLatinx,Black_NonLatinx,White_NonLatinx,OtherRace_NonLatinx,UnknownRace_Ethnicity,Hospitalizations_Ages_0to17,Hospitalizations_Ages_18to29,Hospitalizations_Ages_30to39,Hospitalizations_Ages_40to49,Hospitalizations_Ages_50to59,Hospitalizations_Ages_60to69,Hospitalizations_Ages_70to79,Hospitalizations_Ages_80+,Hospitalizations_Ages_Unknown,Hospitalizations_Female,Hospitalizations_Male,Hospitalizations_Unknown_Gender,Hospitalizations_Latinx,Hospitalizations_Asian_NonLatinx,Hospitalizations_Black_NonLatinx,Hospitalizations_White_NonLatinx,Hospitalizations_Other_Race NonLatinx,Hospitalizations_UnknownRace_Ethnicity
6/23/2020,234,8,20,12,72,43,37,27,17,17,9,0,117,116,1,93,7,43,51,5,35,0,0,0,0,0,3,2,3,0,3,5,0,3,0,4,1,0,0,0,2,1,4,4,3,3,3,0,11,9,0,7,0,7,4,2,0
6/24/2020,245,9,23,22,77,56,28,34,11,9,8,0,143,101,1,84,5,52,42,8,54,0,0,0,0,3,4,1,1,0,5,4,0,6,1,2,0,0,0,0,7,3,1,3,2,6,1,0,16,7,0,6,0,13,4,0,0
6/25/2020,249,11,16,22,70,65,36,21,20,11,4,0,124,125,0,85,4,61,42,8,49,0,0,1,3,0,2,2,3,0,6,5,0,7,0,3,1,0,0,0,2,1,2,3,3,4,1,0,7,9,0,6,0,9,1,0,0
6/26/2020,220,13,23,18,61,49,29,26,17,11,9,0,121,98,1,69,5,43,42,4,57,0,0,1,2,0,0,4,6,0,6,7,0,1,0,5,7,0,0,2,0,1,2,4,6,3,5,0,9,14,0,5,2,12,2,2,0
6/27/2020,130,5,13,11,41,21,23,14,10,7,3,0,64,66,0,45,2,35,21,4,23,0,0,0,0,0,1,2,2,0,4,1,0,1,0,3,1,0,0,1,3,0,1,1,4,0,3,0,9,4,0,6,0,6,1,0,0
6/28/2020,110,5,23,8,36,22,20,10,9,3,2,0,64,46,0,33,1,22,23,7,24,0,0,0,1,0,2,0,2,0,4,1,0,2,0,2,1,0,0,0,4,0,3,4,3,4,5,0,15,8,0,7,0,11,5,0,0
6/29/2020,280,7,25,22,89,56,36,40,17,9,11,0,138,140,2,103,2,63,52,9,51,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0,1,4,2,2,5,6,1,4,0,10,15,0,10,0,10,4,0,1
6/30/2020,265,3,22,25,92,59,39,24,15,5,6,0,135,129,1,107,3,53,51,3,48,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0,2,4,2,3,3,4,2,2,0,10,12,0,8,1,10,3,0,0
7/1/2020,266,13,17,17,98,51,32,27,25,6,10,0,154,111,1,92,2,66,59,3,44,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,0,0,0,1,5,4,3,4,0,8,9,0,5,0,8,3,0,1
7/2/2020,256,6,19,25,80,44,39,28,22,10,8,0,144,112,0,80,7,60,50,6,53,0,0,0,0,1,1,1,3,0,3,3,0,3,0,2,1,0,0,0,5,2,3,1,3,1,4,0,9,10,0,6,0,6,5,1,1
7/3/2020,176,5,23,14,53,36,26,18,16,9,4,0,107,68,1,43,2,44,31,10,46,0,0,0,0,0,2,1,2,0,3,2,0,1,0,4,0,0,0,4,1,1,5,3,4,3,2,0,10,13,0,3,0,13,5,1,1
7/4/2020,63,5,13,8,16,10,13,6,7,2,1,0,33,28,2,12,1,17,13,3,17,0,0,0,0,0,2,1,2,0,1,4,0,4,0,0,1,0,0,2,0,0,1,5,1,2,2,0,8,5,0,1,0,7,1,1,3
7/5/2020,89,3,14,6,29,19,14,11,8,2,0,0,53,35,1,24,0,20,19,7,19,0,0,0,1,1,1,0,0,0,0,3,0,1,0,1,1,0,0,0,2,1,4,2,1,1,3,0,4,10,0,4,1,5,4,0,0
7/6/2020,283,5,20,23,80,66,41,35,21,11,6,0,150,129,4,86,11,69,49,6,62,0,0,0,0,1,2,0,2,0,4,1,0,1,0,2,2,0,0,0,1,3,2,3,4,4,3,0,12,8,0,2,1,12,5,0,0
